loggin | 2021-08-03 10:46:19,959 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 10:46:19,959 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 10:46:19,979 | ERROR | Error inserting
loggin | 2021-08-03 10:46:19,979 | ERROR | Error inserting
loggin | 2021-08-03 10:46:19,987 | ERROR | Error inserting 'ConfigurationError' object is not subscriptable
loggin | 2021-08-03 10:46:19,987 | ERROR | Error inserting 'ConfigurationError' object is not subscriptable
loggin | 2021-08-03 10:49:12,543 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 10:49:12,543 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 10:49:12,558 | ERROR | Error inserting
loggin | 2021-08-03 10:49:12,558 | ERROR | Error inserting
loggin | 2021-08-03 10:49:12,566 | ERROR | Error inserting 'ConfigurationError' object is not subscriptable
loggin | 2021-08-03 10:49:12,566 | ERROR | Error inserting 'ConfigurationError' object is not subscriptable
loggin | 2021-08-03 10:49:19,134 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 10:49:19,134 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 10:49:19,151 | ERROR | Error inserting
loggin | 2021-08-03 10:49:19,151 | ERROR | Error inserting
loggin | 2021-08-03 10:49:19,162 | ERROR | Error inserting 'ConfigurationError' object is not subscriptable
loggin | 2021-08-03 10:49:19,162 | ERROR | Error inserting 'ConfigurationError' object is not subscriptable
loggin | 2021-08-03 10:49:27,708 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 10:49:27,708 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 10:49:27,726 | ERROR | Error inserting
loggin | 2021-08-03 10:49:27,726 | ERROR | Error inserting
loggin | 2021-08-03 10:49:27,736 | ERROR | Error inserting 'ConfigurationError' object is not subscriptable
loggin | 2021-08-03 10:49:27,736 | ERROR | Error inserting 'ConfigurationError' object is not subscriptable
loggin | 2021-08-03 10:49:29,107 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 10:49:29,107 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 10:49:29,124 | ERROR | Error inserting
loggin | 2021-08-03 10:49:29,124 | ERROR | Error inserting
loggin | 2021-08-03 10:49:29,134 | ERROR | Error inserting 'ConfigurationError' object is not subscriptable
loggin | 2021-08-03 10:49:29,134 | ERROR | Error inserting 'ConfigurationError' object is not subscriptable
loggin | 2021-08-03 10:51:55,255 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 10:51:55,255 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 10:51:55,270 | ERROR | Error inserting
